job_num,job_title,job_comloc,job_experience,job_description
50,Data Analytics Intern,"Wanzek Construction, Inc. Fargo, ND On-site",Internship · Internship,"About the job
Overview

POSITION SUMMARY:

Responsible for assisting the Project Controls and operations with data analysis. The ideal candidate can expect to work a minimum of 20 hours/week.

Responsibilities

ESSENTIAL JOB FUNCTIONS:

Support analytics that help to drive company knowledge
Answer reporting questions in regard to reporting business rules as applicable
Provide Maintenance and support for existing reporting
Interact with the data warehouse to develop and maintain dashboards
Assist in communicating data models
Develop and maintain project execution schedules
Provide data that is accurate, consistent, reliable and easily available to decision makers
Utilize data analysis tools such as Microsoft Excel and Power BI
Prepare and present ad-hoc reporting and analysis as needed
Maintain and enhance skills through formal and informal training opportunities
Promote a team-first work environment that encourages communication
Other duties as assigned

Qualifications

EDUCATION AND WORK EXPERIENCE REQUIREMENTS:

Current enrollment in an associate’s or bachelor’s degree program in a related field
GPA of 3.0 or higher

Knowledge, Skills, And Abilities Required

Take reasonable care of your own and others’ health and safety and of those who may be affected by the day-to-day delivery of this role by taking personal responsibility for working toward Wanzek’s Zero Injury principles
Analytical and problem-solving skills
Proficient in the Microsoft Office suite of products
Effectively work with teams utilizing a customer centered approach
Good written, oral and interpersonal communication skills
Effectively present information and respond to questions from groups of users, managers, and customers

MasTec, Inc. is an equal employment opportunity employer. The Company's policy is not to unlawfully discriminate against any applicant or employee on the basis of race, color, sex, religion, national origin, age, disability, genetic information, military status or any other consideration made unlawful by applicable federal, state, or local laws. The Company also prohibits harassment of applicants and employees based on any of these protected categories. It is also MasTec's policy to comply with all applicable state, federal and local laws respecting consideration of unemployment status in making hiring decisions."
51,Data Engineering Intern - Remote,Pixelberry Studios United States Remote,$28/hr (from job description) · Internship · Internship,"About the job
This job is sourced from a job board. Learn more
Pixelberry Studios is a top mobile games developer, creating fun and engaging games with heart for over nine years. We’re a division of Nexon, one of the Top 10 largest gaming companies in the world. Our studio is 3-for-3 launching games into the App Store's Top 25 Grossing chart. Our market-leading, award-winning mobile game, Choices: Stories You Play, broke into the Top 5 in the App Store. Our vision for success is based around innovative game design, diversity, and putting our players first! We've seen firsthand the positive impact that games can make. Because of that, we leverage our commercial success to make a real difference: we have partnered with numerous non-profits, saved actual lives with our games, and donated hundreds of thousands of dollars to charities. Players love our games’ focus on racial, gender, sexual, and identity diversity while holding us accountable when they expect more. Some of us at Pixelberry have worked together for over 10 years through multiple companies. As a result, we strive to create long-term relationships that help sustain our success. We continue to add new individuals who aren’t just searching for another stepping stone but a place to put down roots and actively make a difference. We love what we do and are looking for passionate, like-minded people who want to grow, learn, and make a difference together. SUMMARY OF POSITION Pixelberry Studios is seeking a bright, motivated, and hard-working college student for an exciting internship program. The right candidate will become a data engineering intern assisting the data team in developing new data pipelines using the latest cloud technologies. The duration of the internship will be 12 weeks. Please note this is for current students (College/University or Graduate program) or recent grads from the last few months. Our headquarters are in Los Altos, CA but we can accommodate a remote work environment for a candidate from the following states: California, Colorado, Florida, Indiana, Maryland, Massachusetts, Michigan, Minnesota, Missouri, Nevada, New Jersey, New York, Oregon, South Dakota, Texas, and Washington. Currently, all Pixelberry staff work remotely with the option to work in-office, if desired. RESPONSIBILITIES The candidate will experience the full software development cycle with the following responsibilities:
Create tooling for new and existing applications
Assist in the deployment of testing, staging, and production environments
Work with engineers, analysts, and data scientists to develop large-scale pipelines
Maintain and support existing platforms and evolve to newer technology stacks and architectures REQUIREMENTS What we're looking for:
Aspiring Data Engineer who’s excited to work on large scale challenges with cutting-edge technology
Programming experience in Python and SQL
Experience pulling data from APIs
Proficiency in the linux command line
Knowledge of cloud technologies and databases
Foundational knowledge of basic Computer Science principles: data structures and algorithms
Strong analytical, quantitative, and problem-solving skills NICE TO HAVES
Experience with AWS
Experience with Git BENEFITS & PERKS
Competitive salary
High level of autonomy and freedom
For local employees that elect to work in-studio, a relaxed office environment with free food and snacks
Virtual escape rooms, video game nights, trivia parties, and other team-building activities throughout the year! HOW THIS JOB IS DIFFERENT
Learn about the business side of mobile games. Our team is very good at what we do.
Good work/life balance. We are family-friendly and look at things in the long term.
That warm fuzzy feeling that you’re not just making a difference at a company, but in the lives of people all over the world. Pixelberry Studios values a diverse workplace and strongly encourages women, Black/BIPOC, LGBT individuals, people with disabilities, members of ethnic minorities, foreign-born residents, and veterans to apply. Pixelberry is also an equal opportunity employer. Applicants will not be discriminated against because of race, color, creed, sex, sexual orientation, gender identity or expression, age, religion, national origin, citizenship status, disability, ancestry, marital status, veteran status, medical condition or any protected category prohibited by local, state or federal laws. Compensation Description for Pay Transparency (hourly) The base salary range for this position in the selected city is $ $28/hour. Our salary ranges are determined by market data based on position and level. The range displayed on each job posting reflects the minimum and maximum salaries for that position. Where an individual’s pay falls within the range is determined by factors including, but not limited to, location, job-related skills, experience, and relevant education or training. In some cases, compensation may fall outside of this range depending on factors, including a candidate’s qualifications, skills, competencies, experience, and location. Base pay is one part of the Total Rewards package that is provided to compensate and recognize employees for their work."
52,Infrastructure/DevOps Intern,Firework United States Remote,Internship · Internship,"About the job
Firework is the world's leading immersive ""shoppertainment"" ecosystem with shoppable video, live streaming commerce, and monetization capabilities powering hundreds of direct-to-consumer brands, retailers and media publishers worldwide. Firework empowers its customers to create and host native, shoppable video content for engaging product discovery, seamless shopping experiences and ultimately, a deeper emotional connection with consumers. Pandemic-accelerated, Firework has experienced massive year-over-year growth, bringing TikTok-like interactive video experiences, all by adding just one line of HTML code to customers’ own websites. We are a global and diverse team of creators, entrepreneurs, storytellers, and data geeks driven by the future of authenticity and connection-first transforming ecommerce. The company has raised over $235M to date, with its latest Series B round led by SoftBank Vision Fund 2.

Summary

Our engineering team is growing! We’re looking for passionate individual interns to join us to gain exposure to the software development cycle at a very exciting high-growth startup.

What You'll Be Doing
Writing Terraform to create easily deployable and repeatable Infrastructure-as-Code (IaC).
Assist in building and maintaining a reliable and scalable infrastructure using modern DevOps practices.
Contribute to the development and improvement of CI/CD pipelines to automate the build, test, and deployment processes.
Assist in monitoring and troubleshooting production systems to ensure high availability and performance.
Collaborate with other developers and teams to ensure seamless integration and deployment of software applications.
Participating and practicing Scrum and Agile methodologies and ceremonies.
Continuous discussions with your fellow team members to keep up-to-date with the current business goals and projects.

We'll be excited if you have
AWS cloud experience
Working in live production systems.
Knowledge of version control systems (e.g. Git) and their workflows.
Terraform/Terragrunt experience.
Familiarity with Linux/Unix operating systems and command-line tools.
Exposure to scripting languages such as Bash and/or Python.
Strong problem-solving and analytical skills.
Excellent communication and teamwork abilities.
Self-motivated and eager to learn new technologies and tools.
Ability to adapt and thrive in a fast-paced, dynamic environment.

The role may be hybrid in one of our offices or remote. For remote, we are looking for candidates based in Canada or South America.

Don’t hold back

We understand some candidates may see the above and not apply because they don’t meet all the qualifications. We encourage you to apply anyway; we often find talented candidates that fit many other opportunities we have and look for potential too, not just what you did in the past. As an equal employment opportunity employer, we are a diverse team that strives for an inclusive environment for all. We prohibit discrimination and harassment of any kind based on race, color, sex, religion, sexual orientation, national origin, age, disability, genetic information, pregnancy, or any other protected characteristic as outlined by federal, state, or local laws.

Notice to Third Party Recruitment Agencies

Please note that while Firework and its subsidiaries appreciate agency outreach, we currently do not accept unsolicited resumes from recruiters or employment agencies. In the absence of an executed Recruitment Services Agreement, there will be no obligation to any referral compensation or recruiter fee.

In the event a recruiter or agency submits a resume or candidate without an agreement, Firework and its subsidiaries reserve the right to pursue and hire those candidate(s) without any financial obligation to the recruiter or agency.

By submitting your application, you acknowledge that you have read and understood Firework's Applicant Privacy Policy located at : https://firework.com/legal/applicantpolicy/."
53,Analytics Intern,WizeHire United States Remote,Internship · Internship,"About the job
We are Atmosfy.

And we're the fastest growing platform globally for live video of dining and nightlife. More than that, we help support local businesses globally by sharing unique experiences. How cool is that? We help people in more than 150 countries and 10,000 cities discover the world's best experiences through video. But inspiring a global audience through mouth-watering videos of maple syrup dripping off chicken and waffles or FOMO-inducing nightclubs is hard work. That's why we employ the most creative, passionate people in the industry.

Our team draws on talented people who have worked at best-in-class companies such as Facebook, Google, and Netflix. We are backed by top-tiered investors in Silicon Valley.

Check us out on the App Store or Google Play to learn more about our mission to share experiences, inspire others, and support local businesses worldwide.

We're seeking a highly motivated and proactive Atmosfy Intern to join the Marketing team. This position will assist in continuing global growth of the Atmosfy Brand globally. This is a paid internship and is a completely remote position.

a Bit About You

You're passionate and extremely motivated. You've got an enterprising spirit at heart. You're resourceful, innovative, forward-thinking, and committed. And of course (because we're Atmosfy after all!) you absolutely love travel, discovering new restaurants, nightlife, and experiences. If this sounds like you then read on friend!

About The Internship

Atmosfy is seeking a highly motivated and proactive Atmosfy Intern to join the Analytics team. This position will assist in continuing global growth of the Atmosfy Brand globally. This is a paid internship and is a completely remote position.
Desired Skills and Experience
Qualifications
WHAT YOU'LL BE DOING?
Works with various business units to understand product and business data and the underlying processes
Identifies meaningful insights from large data sources; interprets and communicates insights and findings from analyses and experiments to product, service, and business stakeholders
Designs, develops, tests, and implements appropriate solutions through data analysis, model development, simulations, and visualization
Communicates with the department manager and team regarding the scope and progress of the work
Responsibilities
WHAT WE'RE LOOKING FOR?Be part of a business that moves at breakneck speed and delivers the most engaging experiences to our users.
Able to effectively convey information related to work product in a one-on-one conversation or in a group
Able to work effectively in a team environment
Able to alter behavior and opinions in light of new information
Data visualization skills: quickly and effectively ""tell the data story"" and use visualization techniques to highlight salient points"
54,DevOps Engineer (Student Position),"Canada Life California, United States Hybrid",Internship · Internship,"About the job
Job Description (EN)

Canada Life is seeking Technology Students with strong achievements in their academic studies and practical practice

As An Technology Student You Are a Key Member Of a Highly Respected, Professional, DevOps Team And Will Have An Opportunity To Work In One Of The Following Possible Areas
Cloud Infrastructure
DevOps
Note: This is a 4 month co-op starting in September 2023. We have positions available in Toronto, London, and Winnipeg.

What You Will Do
Accountable for the monitoring, maintenance and support of systems, services and tools, as well as deploying net-new capabilities in accordance with DevOps principles.
Will participate in squad activities through the development, maintenance and automation of efficient tools and processes.
Ensures continuous, high velocity delivery and automated deployment using software provisioning, configuration management, source code management and/or team collaboration applications which enable the business to produce products faster through delivery supply chain automation thereby delivering customer value. This will include building new solutions, migrating existing capabilities to the new digital stack, automating current processes & interfaces and assisting in formalizing infrastructure standards.
The incumbent will be expected to stay current with technical advancements and bring new thoughts and patterns to the organization.
Requires broad technical knowledge and experience across a variety of IT areas, including infrastructure, development, operations, and quality assurance.
We offer a friendly, supportive work environment, one that rewards initiative and commitment. Successful candidates receive a competitive salary, pension plan. Canada Life employees also enjoy casual dress days, an exceptional cafeteria, outdoor recreational facilities (tennis, baseball and volleyball), an on-site fitness centre and an active social committee.

Our Technology Students participate in a variety of team building activities, conferences, and professional development activities that help to strengthen skills and contribute to building strong relationships among our Technology staff.

What You Will Bring
Working towards a University/College degree in Computer Science
Strong achievements in academic studies
Innovative problem-solver
Excellent communication and interpersonal skills
Well organized, delivering accurate work with an attention to detail, in a timely manner
Team player who is also comfortable working independently
Given the size and scope of our organization, we have the flexibility for this position to be located in the following head office locations: Toronto, London, Winnipeg.

Be your best at Canada Life- Apply today!

Being a part of Canada Life means you have a voice. This is a place where your unique background, perspectives and talents are valued, and shape our future success.

You can be your best here. You’re part of a diverse and inclusive workplace where your career and well-being are championed. You’ll have the opportunity to excel in your way, finding new and better ways to deliver exceptional customer and advisor experiences.

Together, as part of a great team, you’ll deliver on our shared purpose to improve the well-being of Canadians. It’s our driving force. Become part of a strong and successful company that’s trusted by millions of Canadians to do the right thing.

Canada Life serves the financial security needs of more than 13 million people across Canada, with additional operations in Europe and the United States. As members of the Power Financial Corporation group of companies, we’re one of Canada’s leading insurers with interests in life insurance, health insurance, investment and retirement savings. We offer a broad portfolio of financial and benefit plan solutions for individuals, families, businesses and organizations.

We are committed to providing an inclusive, accessible environment, where all employees and customers feel valued, respected and supported. We are dedicated to building a workforce that reflects the diversity of the communities in which we live, and to creating an environment where every employee  has the opportunity to  reach their potential.

It is our priority to remove barriers to provide equal access to employment. A Human Resources representative will work with applicants who request a reasonable accommodation during the application process. All information shared during the accommodation request process will be stored and used in a manner that is consistent with applicable laws and Canada Life policies. To request a reasonable accommodation in the application process, contact talentacquisitioncanada@canadalife.com .

Canada Life would like to thank all applicants, however only those who qualify for an interview will be contacted ."
55,Data Analytics Intern,"Advanced Radiology Consultants Shelton, CT Hybrid",Internship · Internship,"About the job
Advanced Radiology is seeking a Data Analytics Intern to support the development of an in-house database development project. The Analytics intern will work closely with the Director of Healthcare Informatics and Healthcare Informatics Team. They will be responsible for collecting, analyzing and curating data for our new database system.

Schedule: On-Site, Monday through Friday, 9:00am to 5:00pm, seasonal, flexible schedule to accommodate ongoing educational requirements.

Essential Job Duties And Responsibilities
Collecting, analyzing and organizing data
Designing a format that will allow the data to be easily loaded into database tables
Supporting other analytics projects determined by the Director of Healthcare Informatics
Exploring data using Business Intelligence tool Tableau
Attending meetings, training, learning and development sessions as required.
Knowledge, Skills And Abilities
Excellent organizational skills and ability to multitask in a high paced environment.
Customer service skills - empathetic, active listener, who has strong follow through skills
Proficient computer skills and data entry skills
Experience with Microsoft Excel
Listen to feedback or constructive criticism from management and apply it to themselves
Critical thinking – the ability to think creatively, problem solve and work independently
Educational Requirements
Working towards Associate or Bachelor degree
Advanced Radiology is one of the largest independent radiology practices in the tri-state area with the most experienced radiologists. We look for team members who want to learn, grow and be professionally challenged, while enjoying a rewarding, caring and friendly environment."
56,Intern - Data Analytics,"University of Massachusetts Shrewsbury, MA On-site",Internship · Internship,"About the job
Job Summary

The University of Massachusetts President's Office, located in Shrewsbury and Boston, MA is offering a 20 hour a week internship during the semester and 40 hours per week in the Summer. This is a paid internship and academic credit may also be available. The selected intern will intern directly with the Unified Procurement Services Team’s Data & Analytics Specialist. Those selected for this internship will gain valuable knowledge of the inner workings of the University of Massachusetts.

Interns positioned in the President's Office have the unique experience of working side by side with the Data & Analytics function. The objective of this internship will be to contribute in making data visually appealing, easy to understand and navigate for end-users. In addition, generate insights by conducting extensive analysis of UMass Procurement and Spend data.

We are seeking problem solvers who have a passion for data and related technologies, a sharp analytical mind and a positive attitude towards work. In the process, you will develop analysis and reporting capabilities as well as business acumen, deep understanding of the procurement business and gain exposure to a wide variety of functional teams within UPST and the UMass President’s Office.

To learn more about the UPST organization and the impactful work being done within UMass, review our feature in the Supply Chain Digital magazine, go to our website or connect with us on LinkedIn !

Essential Functions

Interns will:
Design of visually interactive and actionable dashboards that express procurement metrics and KPIs by using data visualization tools - Tableau & Salesforce.
Assist with data analysis and issues identification, and work with IT professionals to mitigate/ manage issues.
Gather, acquire and aggregate data business requirements from different primary data sources/systems and prepare weekly/monthly progress reports and ad-hoc reports for internal and external stakeholders.
Interact and collaborate with cross-functional group across IT, Sourcing, Accounts Payable, Service & Quality and others to provide data reporting and analytics support.
Support and participate in special projects/initiatives to meet the long-term data and analytics objectives and goals for the enterprise.

Other Functions
Perform other duties as assigned.

Minimum Qualifications (Knowledge, Skills, Abilities, Education, Experience)
Current UMass student who is enrolled in an undergraduate or graduate degree in analytics or MIS.
GPA 3.0 or higher.
Hands on experience using Tableau platform
Strong analytical and communication skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy.
Adept at queries, report writing and presenting findings.
Creative, eager to learn, motivated, and willing to take initiative on assigned projects/tasks.
Reliable and detailed-oriented with a strong ability to multi-task, stay organized, and meet deadlines.
Ability to work independently and as part of a team in a fast-paced environment.
Must be well organized, detailed oriented, and possess good follow-up skills.
Ability to maintain confidentiality and exercise discretion when interacting with staff.
Must be proficient in Microsoft Office (including Excel, Word, PowerPoint).

Preferred Qualifications (Knowledge, Skills, Abilities, Education, Experience)
Demonstrated data visualization and interactive dashboard experience is highly desirable.
Advanced level Tableau skills
Familiarity with Salesforce platform.

Working Conditions
Hybrid work environment - Able to effectively work from a remote location.
Any offers of an internship within the President's Office is specifically conditioned upon the potential candidate consenting to and successfully completing a background review."
57,Fall 2023 Software Engineering Internship,"Moog Inc. Elma, NY On-site",$24.40/hr - $29.50/hr (from job description) · Internship · Internship,"About the job
This is not work experience, this is an opportunity to experience work.

An Intern is an investment in Moog’s future. The intern relationship provides a three-way benefit between the student, university, and Moog. It is an opportunity for the student to incorporate classroom learning into professional, real world situations. The student brings new ideas to Moog on how to tackle projects and challenges, while Moog benefits from fresh perspectives from the brightest students in their respective fields of study. By having the students work on actual programs, we also work towards solving our customers’ most difficult technical challenges .

Moog’s Aircraft, Industrial and Space & Defense Groups are seeking students for fall computer and/or software engineering internships and co-ops!

As part of the Moog U.S. Student and Early Career Internship Program, this position provides strategic and tactical support to senior and mid-level employees.

As a Moog intern, you will contribute to routine engineering work requiring the application of standard techniques, procedures, and criteria in carrying out a variety of engineering tasks. You will also have the opportunity to work on discipline-focused projects and tasks to enhance their collegiate learning experience while providing meaningful contributions to the Moog Engineering Team (s).

Responsibilities
Contribute to the preparation and execution of key software engineering tasks at Moog.
Provide technical support to engineers, as needed.
Provide input on project processes, strategies, and execution.
Operate as a multidisciplinary member of the team of creative, independent individuals.
Represent Moog in a manner consistent with its technical and professional reputation.

Basic Requirements
Enrolled in an software engineering or computer science Bachelor's or Master's Degree program at an accredited university.
GPA of at least 3.0 or higher; exact GPA requirement will be determined by department and/or team.
This position requires access to U.S. export-controlled information.
Current 3rd year student or higher is preferred
Embedded software capability is a plus!

Students within the Moog U.S. Internship Program are expected to have a professional disposition, effective communication skills, a strong desire to learn, a positive attitude, and the ability to work in a team environment.
Please note this requisition is for sourcing purposes and will be used to fill individual openings as they become available.
California Residents: pay range for this opportunity is $24.40 - $29.50 per hour based on year in school, additional internship experience, etc.

EOE/AA Minority/Female/Disability/Veteran/Sexual Orientation/Gender Identity"
58,Machine Learning Engineer (NLP) Internship,Vee United States Remote,Internship · Internship,"About the job
Position: Machine Learning Engineer (NLP) (REMOTE)
Reports to: CTO
Location: Remote

Are you passionate about exploring where, how, and why data can drive business decisions? Interested in how organizations use analytics and data to innovate, grow and transform? Driven to help establish, define, and evangelize how data science can help drive a strategy?

Company Overview
Vee inspires people to align on Purpose so they can unlock their individual and collective human potential. We are an early stage startup poised for dramatic growth. We specialize in developing ways to drive greater strategic alignment to unlock enterprise innovation and growth. After spending considerable time exploring the need for better alignment models across diverse organizations, we have developed a framework and methodology based on insights from extensive research. We are building products to assess gaps and are offering our consulting services to help 21st century leaders develop and implement their organizational and people strategies, along with the capabilities required to operationalize their Purpose as they transform.


Position Overview
Join our fast-growing team! You will help drive intelligent, insightful, and predictive business results to help Vee and Vee’s clients drive value in the realms of people, purpose, and performance. You will help build Vee’s data capability and data strategy.


General Responsibilities
Design and execute Natural Language Processing experiments using state of the art models to help develop a recommendation system
Research and run topic analysis on targeted content
Scrape targeted content from social media and open Web sources
Collaborate with Data Engineering, People Science, business partners, and Chief Technology Officer to create robust NLP pipelines using AWS SageMaker, Comprehend, Tensorflow, S3
Communicate results and ideas to key stakeholders at Vee
Core Experience & Requirements
Masters degree in Computer Science, Applied Statistics, Applied math, Data Science, or a related field
Previous experience running NLP projects, ideally in a corporate or startup context Practical experience with multiple statistical languages (SAS, R, Pandas), data processing, database programming, and data analytics
Solid background in data mining and statistical analysis
Experience with programming languages such as Python and R
Knowledge of data visualization tools (e.g. Tableau)
Strong collaboration skills - you partner well with others to solve problems and actively incorporate input from various sources
Excellent oral and written communication skills
Working with key stakeholders to drive business results


Profile
Purpose is what drives you. Your passion for your work has led you here. You are ready to combine your experience with ours to help our client companies gain competitive advantage. You bring strong creative thinking skills in addition to superior communication skills, allowing you to develop creative solutions for any challenge that comes your way.


You:
Love what you do, love to be busy, and love to produce by being organized and methodical
Work with a sense of urgency and have a strong drive for results
Have the resilience and agility to adapt quickly in a fast-paced environment
Work independently as well as collaboratively to stretch thinking into creative solutions
Have strong verbal and written communication skills
Are excited about and suited for a startup, where you’ll be wearing a few hats
Are smart and fun with an empathetic nature, which will add to our culture


While this is an unpaid internship, Vee has a unique intern development program designed and led by our people science experts that begins with day one of your onboarding. Most of our interns have attained full-time roles in their field of study based on their experience with Vee at top companies: many at Amazon, as well as Aisera, American Express, Apple, Fractal Analytics, CVS Health, JPMorgan Chase, Figma, McKinsey & Company, Millennium Management , Raytheon, Synopsis and Trend Micro.


About Vee
Our founders and team have deep expertise in branding, innovation, design, I/O psychology, organization design, digital & data product development, enterprise software and application development complemented by experience with clients ranging from emerging Silicon Valley unicorns to established leaders in government and the public and private sectors including American Express, Bank of America, BMW, Box, HP, Lowe’s, Mastercard, Microsoft, Nissan, Pepsico, Procter & Gamble, SAP and The Clorox Company, among others. For more information, check out our website in transition at https://www.letsvee.com/."
59,Research and Data Analytics Intern,"Human Rights Foundation New York, NY On-site",Internship · Internship,"About the job
This job is sourced from a job board. Learn more
Responsibilities

The position will be as an intern assisting the head of the Combatting Kleptocracy program with research, and data analytics. There will also be some clerical and administrative tasks and some data entry. This person should be interested in news and current affairs pertaining to illicit finance, trans-national money laundering, and the links between dirty money and authoritarianism. Sound judgment, focus, organization, attention to detail, empathy, an ability to work under pressure, and a sense of humor are imperative.

The intern will spend time
organizing data regarding foreign dictatorial funding of Western entities
helping write a new newsletter on illicit finance and kleptocracy
helping organize new events and podcasts dedicated to illicit finance and kleptocracy
helping research sanctions submissions and effects
helping research foreign influence and foreign interference campaigns
Qualifications
College student
Strong research, and communication abilities
Experience with data organization and analysis
About HRF

The Human Rights Foundation is a nonpartisan nonprofit organization that promotes and protects human rights globally, with a focus on closed societies. Our work includes effective campaigns to free political prisoners, world-class events such as the Oslo Freedom Forum, and programs such as Flash Drives for Freedom that publicize human rights violators and directly support dissidents and human rights defenders at risk.

For more information on HRF and its work, please visit our website at www.hrf.org."
60,Summer Intern,"ReaCredence IT Solutions Inc Huntersville, NC On-site",Internship · Entry level,"About the job
Cerebrone.ai is pleased to offer a summer internship program for aspiring individuals who are passionate about the field of DevOps and eager to gain practical experience in the industry. As a leading technology firm, we are dedicated to empowering our clients with cutting-edge software development and infrastructure management solutions. We firmly believe that a strong DevOps culture, centered around collaboration, automation, and continuous improvement, is crucial for success in today's digital landscape.

Our team consists of highly skilled developers, system administrators, and DevOps engineers who work collaboratively to provide our clients with bespoke solutions that cater to their unique needs and objectives. We take a hands-on approach to every project, working closely with our clients to ensure that we deliver exceptional results that exceed their expectations.

As a DevOps summer intern at Cerebrone.ai, you will have the opportunity to learn from our experienced professionals and gain practical experience by working on real-world projects. You will be exposed to the latest tools and technologies and receive mentorship and support from industry experts who are committed to your professional development. We believe in investing in our team members and are dedicated to helping you acquire new skills and grow your career in the field of DevOps.

Benefits Of Being Our Intern
Learn side-by-side with our DevOps Manager in work integrated training method.
Work on Agile Scrum sessions while learning the Agile methodology
Exposure to DevOps processes
Work on the Agile Scrum team and learn our Agile
Work with software engineers, IT, and client support teams
Deep dive learning sessions
Troubleshoot and resolution
Eligibility Criteria
Currently pursuing a degree in Computer Science, Engineering, or a related field
Knowledge of Linux/Unix systems and command-line tools
Familiarity with at least one programming language (e.g., Python, Ruby, Java)
Familiarity with containerization and orchestration technologies (e.g., Docker, Kubernetes)
Experience with cloud computing platforms (e.g., AWS, Azure, Google Cloud)
Join Our Dynamic Tailor-Made Onsite Internship: Network, Learn, and Collaborate with Seasoned Professionals:
Onsite Unpaid Tailormade internship scheduled between 10-12 weeks
Network and collaborate with seasoned professionals
Dynamic workforce environment
Team-oriented mentoring and shadowing
Will work on projects right away as you start learning our methodology and our platform
Monthly team events (Happy Hours)
A fun and collaborative environment
If you are passionate about technology and want to work for a company that values innovation, collaboration, and excellence, we encourage you to apply for our DevOps summer internship. We look forward to hearing from you!

We do not discriminate against any employee or applicant for employment on the basis of race, color, religion, gender, sexual orientation, national origin, age, disability, or any other legally protected status. We believe in creating a workplace that is free from discrimination, harassment, and retaliation, and we strive to foster a culture of respect, inclusion, and belonging."
61,"Intern, Global Implant Systems Development","NuVasive San Diego, CA On-site","$35,250/yr - $58,750/yr (from job description) · Internship · Internship","About the job
Job Summary And Primary Responsibilities

Join the NuVasive Global Implants Systems Team this Summer as a Development Engineer Intern. This opportunity will help you grow in your career and we will provide training and mentorship as you hone your skills and build confidence. The candidate will ideally work full time (40 hours per week) during the summer and transition to part time (10-20 hours per week pending schedule) during the fall semester.

Primary Responsibilities

Spend the summer supporting one of various teams within the Research & Development or Product & Services group. Tasks may include design, drawing creation, prototype development and testing, design control documentation, verification and validation activities, Engineering Change Orders (ECO), cadaver lab support, periodic presentations, and more. You will be an active member of a project team, with opportunities to work cross-functionally with marketing, quality, regulatory, and manufacturing counterparts.

Required Skills / Capabilities
High school diploma or equivalent
In pursuit of 4th year of Bachelor’s degree in Mechanical Engineering or Biomedical Engineering
Candidates are responsible for their own housing and transportation during the internship
Must be eligible to work in the United States
Practical experience with CAD (computer aided design) software including modeling, drawings, and assemblies
Basic understanding of mechanical engineering principles and manufacturing processes
Education And Experience

Preferred Experience:
Bachelors in Engineering in progress.
Typically requires at least one previous internship experience
Practical experience with CAD Software (Creo preferred)
Practical experience with FEA (finite element analysis) software
Travel And/or Physical Requirements
Full time during the summer converting to part time in the fall as needed.
Salary Range: $35,250 - $58,750

For roles that require access to hospital facilities, must be eligible for and maintain credentials at all required hospitals, including meeting any applicable physical requirements or vaccination requirements (including the COVID-19 vaccine, as applicable).

NuVasive is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, or protected veteran status and will not be discriminated against on the basis of disability. The “EEO is the Law” poster options are available here . NuVasive's EEO policy is available here .

About NuVasive

NuVasive, Inc. (NASDAQ: NUVA) is the leader in spine technology innovation, with a mission to transform surgery, advance care, and change lives. The Company's less-invasive, procedurally integrated surgical solutions are designed to deliver reproducible and clinically proven outcomes. The Company's comprehensive procedural portfolio includes surgical access instruments, spinal implants, fixation systems, biologics, software for surgical planning, navigation and imaging solutions, magnetically adjustable implant systems for spine and orthopedics, and intraoperative neuromonitoring technology and service offerings. With more than $1 billion in net sales, NuVasive has approximately 2,700 employees and operates in more than 50 countries serving surgeons, hospitals, and patients. For more information, please visit www.nuvasive.com ."
