,job_title,job_comloc,job_experience,job_description
106,Finance Intern,"Rose International Iselin, NJ On-site",Internship · Internship,"About the job
Position TitlePosition NumberLocation

Position Title:

Finance Intern

Position Number:

442585

Location:

USA, NJ, Iselin 08830 Position TypeSkills/Attributes

Position Type

Temp to Hire

Skills/Attributes

Accounting, Finance, Microsoft Office 365, MS Word, SharePoint Estimated Duration (In Weeks)

Estimated Duration (In Weeks)

12

Apply Now

Description

**Only those lawfully authorized to work in the designated country associated with the position will be considered.**
**Please note that all Position start dates and duration are estimates and may be reduced or lengthened based upon a client’s business needs and requirements.**

Job Title: Finance Intern

Location: Iselin, NJ, USA, 08830

Duration: 3 Months

Schedule: 8:30AM - 5:00PM

Description:

Clients Financial Services is looking for an Intern to work in our Project Finance team.

Responsibilities:

Develop and compile a database of ancillary information related to historical Project Finance debt transactions for use in future business analytics / reporting.
Data migration from existing systems to MS SharePoint
Execute the overall project and individual tasks timely with strong attention to accurate data.
Contribute to a positive team environment through effective communication and a positive attitude.
Demonstrate empowerment through self-motivated and independent completion of tasks, including proactively anticipating problems and identifying creative solutions for gathering and compiling data.
General ad-hoc support of Project Finance initiatives.

Qualifications:

Working towards a degree in business, accounting, finance, economics, or another quantitative subject
Knowledge of MS 365 suite, with emphasis on MS Sharepoint and MS Word.
Detail-oriented and possess proven organizational skills.
Ability to interact well with others in a team environment.
Ability to operate in a high volume, time pressured environment while maintaining a positive focus.
Strong writing, interpersonal and communication skills

Benefits:

For information and details on employment benefits offered with this position, please visit here. Should you have any questions/concerns, please contact our HR Department via our secure website.

California Pay Equity:

For information and details on pay equity laws in California, please visit the State of California Department of Industrial Relations' website here.

Rose International is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, age, sex, sexual orientation, gender (expression or identity), national origin, arrest and conviction records, disability, veteran status or any other characteristic protected by law. Positions located in San Francisco and Los Angeles, California will be administered in accordance with their respective Fair Chance Ordinances.

If you need assistance in completing this application, or during any phase of the application, interview, hiring, or employment process, whether due to a disability or otherwise, please contact our HR Department.

Rose International has an official agreement (ID #132522), effective June 30, 2008, with the U.S. Department of Homeland Security, U.S. Citizenship and Immigration Services, Employment Verification Program (E-Verify). (Posting required by OCGA 13/10-91.).
Desired Skills and Experience
Iselin"
107,Internship - Accounting/Credit,"Service Wire Company Culloden, WV Hybrid",Internship · Internship,"About the job
Accounting/Credit Intern

Reports To: Accounting and Credit Managers

Location: Culloden, WV

Service Wire Company, a premier manufacturer of wire and cable, is seeking qualified interns to assist in a variety of fields. We have year-round opportunities for current college and vocational/technical students, based upon business need.

Position Summary

The position will involve the Accounting and Credit departments whereas functions would be determined and directed by department managers.

Essential Duties & Responsibilities

Aid on key projects related to functional area
Contribute ideas and thoughts in meetings
Perform analysis on key data points to lead initiatives
Provides support to office staff as needed
Performs other related duties as assigned by supervisor

Qualifications/Requirements

Must be enrolled in a college program (preferably junior or senior level)|
Strong verbal and written communication skills
Strong Microsoft Office skills
Proven detail attentiveness, organizational, analytical, and time management skills
Positive can-do attitude towards professional endeavors
High level of professionalism and be able to work cooperatively with staff, internal, and external customers
Ability to manage confidential information

The position is in-office. Remote work is not available. No more than twenty-eight (28) hours may be worked per week."
108,Intern - Finance Team,"Berkshire Hathaway Homestate Companies - Workers Compensation Division San Francisco, CA On-site",Internship · Internship,"About the job
What We're Looking For

Our San Francisco Finance Team is looking for a Intern to work closely with our Procurement and Accounts Payable groups. Great opportunity for local Finance/Accounting college students! Allows for 10 - 20 hours per week during semester; full-time during summer and other breaks. Projects include report creation, process review and recommendations, web page enhancements, as well as reconciliations and other general needs.

Responsibilities
Assist rebuild of Team page on intranet site to assist employees in accessing information more efficiently
Assist in development of tools/reports/procedures to improve efficiency in monthly/quarterly/annual reconciliations
Assist with telecommunication audit and develop process to ensure employees are updated on upgrades per company guidelines
Assist Payroll in creation of database on State-specific mandates/guidelines/filings
Create summary reports to assist stakeholders
Assist with creation of auto-generated reporting on vendor partners
Assist with day-to-day operations as needed and other ad-hoc projects
What Will Set You Apart
EDUCATION: Bachelor's degree program in Business, Finance, or related field.
LANGUAGE ABILITY: Able to read, analyze and interpret governmental regulations, financial documentation. technical procedures, and general business periodicals. Able to write reports, work flows, and general business correspondence. Able to effectively present information and to respond to questions from team.
MATH AND REASONING ABILITY: Able to solve practical problems and deal with a variety of concrete variables in situations where some limited standardization exists. Able to interpret instructions furnished in written, oral, diagram or schedule form.
TECHNICAL SKILLS: Experience with office operations, data entry and file management. Knowledge of Federal (W-4) and various State reporting/filing requirements (Payroll) highly preferred.
COMPUTER SKILLS: Expertise in Microsoft Excel and Word a must; and, must be able to become proficient on applicable databases, systems, and vended software programs.
$20 - $20 biweekly"
109,"BDO USA, LLP, Audit Intern - Financial Services - Summer 2024 (NYC) - Application via WayUp","WayUp New York, NY On-site",$22/hr - $39/hr (from job description) · Internship · Internship,"About the job
This role is with BDO USA, LLP. WayUp is partnering with BDO USA, LLP to hire top talent.

JOB SUMMARY: BDO is a place for energetic self-starters who can think and act like entrepreneurs. As an Intern in our Assurance practice, you will begin to utilize your educational background as well as your organizational skills as you serve the firm's dynamic client base. You will assist in problem solving and fact-finding, working side-by-side with more experienced team members who can provide you with direction, coaching and learning opportunities. This opportunity will allow you to gain a unique hands-on perspective on our firm’s practices and people, as well as beginning to forge the critical relationships that will help maximize your chance for success in your career. JOB DUTIES: TYPICAL RESPONSIBILITIES WILL INCLUDE:
Participates in a structured on-the-job training program and become familiar with Generally Accepted Accounting Principles and Generally Accepted Auditing Standards
Becomes familiar with BDO specific audit methodology to assist with various stages of the audit process
Provides various support functions to the audit staff during engagement
Communicates with the clients' customers, creditors, banks and related parties concerning audit issues
Prepares and documents work in working papers utilizing BDO specific tools and templates
Contributes ideas/opinions to the audit teams and listen/respond to other team members’ views
Completes one assigned accounting or audit related research project and able to present findings to a panel of Assurance professionals
Other duties as required QUALIFICATIONS, KNOWLEDGE, SKILLS AND ABILITIES: EDUCATION:
Enrolled in a Bachelors or Masters program in Accounting, required
Pursuing a masters degree in Accounting, preferred EXPERIENCE:
Leadership experience, preferred LICENSE/CERTIFICATIONS:
Actively pursuing school credits to become a CPA SOFTWARE:
Proficient in Microsoft Office Suite, specifically Word, Excel and PowerPoint, required LANGUAGE:
N/A OTHER PREFERRED KNOWLEDGE, SKILLS & ABILITIES:
Strong written and verbal communication skills
Ability to follow instructions as directed
Ability to work effectively in a team setting
Positive attitude and willingness to learn Individual salaries that are offered to a candidate are determined after consideration of numerous factors including but not limited to the candidate’s qualifications, experience, skills, and geography. California Range: $31.00/hr - $39.00/hr Colorado Range: $22.00/hr - $27.00/hr New York City/ Valhalla Range: $32.00/hr - $36.00/hr Washington Range: $31.00/hr - $39.00/h"
110,Accounting Intern with Security Clearance,"ClearanceJobs Vienna, VA On-site",Internship · Internship,"About the job
About Us We are International Business & Technical Consultants, Inc. (IBTCI), a global consulting firm working on some of the most complex and impactful development problems worldwide. We work on programs that help government agencies, private companies and donors improve the lives of others. At IBTCI you will be part of an inclusive team that provides expert solutions and advice to understand and address critical problems while giving you opportunities to succeed and grow. Job Title: Accounting Intern Department/Location: Accounting Reports To: Controller Type: Part-time Temporary Classification: Non-Exempt Clearance: N/A Overview: IBTCI is seeking an Intern to support the Accounting Department. The ideal candidate will be assertive, work with a sense of urgency and display a strong work ethic. Flexibility is also key as this position may help support any of the accounting functions. Please note this is a part-time administrative position; 28 hours per week in the office. The internship usually lasts up to 6 months. Responsibilities Essential Duties and Responsibilities: Work with Concur expenses review and upload into Deltek

Review expense reports received in accounting.com email inbox and input in Deltek

Work with Sr. Accounting Manager to research documentation for audits

Review sample of vouchers recorded and ensure vouchers have all required documentation

Assist with filing and sending prior year documentation to storage

Assist the team with various projects

Other duties as assigned Qualifications Minimum Requirements: At least 1 year of work experience preferred

Previous Administrative Experience Preferred

Mastery of work processing, spreadsheets, word documents and PDFs.

Experience using the internet for research.

Excellent writing, research and organizational skills

Experience in Google Workspace

Attention to detail

Oral and written communication in English is required

Proficient with Microsoft Office Suite, particularly Word and Excel.

Education: At least 2 years of college education in Accounting, Business or related field. Working Environment: Work is performed in a typical corporate office environment. IBTCI is allowing for temporary hybrid work because of COVID 19 in the District of Columbia, Maryland and Virginia (DMV) area. This will be updated by the company. COVID Vaccine Status: As a condition of employment, IBTCI requires all new employees to be fully vaccinated against COVID-19. Candidates should be prepared to submit proof of COVID-19 vaccination upon hire or request for an accommodation with HR that is consistent with our COVID-19 safety protocols and policies. Physical Requirements: This is largely a sedentary position that required the ability to speak, hear, see, and lift small objects up to 20 lbs. Supervisory Responsibility: This position does not have supervisory responsibilities. Travel: No travel is required. Work Authorization: Candidate must be authorized to work in the U.S.A. Visa sponsorship is not available for this position. About the Organization: IBTCI has been in business since 1987. We specialize in Monitoring, Evaluation, Research & Learning (MERL), Institutional Support (IS), Financial & Risk Management (FRM), Supply Chain Management & Procurement (SCMP); Social & Behavior Change (SBC) and Capacity Building. We provide these services across many sectors including, but not limited to, agriculture, resilience & food security, conflict & crisis, democracy & governance, economic growth & trade, education, energy & Infrastructure, environment & climate change, global health & WASH and humanitarian and disaster assistance. At IBTCI, our colleagues are encouraged to collaborate and be part of the solution while getting the tools and guidance needed to grow and support our clients' missions. Please note this job description is not designed to cover or contain a comprehensive listing of activities, duties or responsibilities that are required of the employee for this job. Duties, responsibilities and activities may change at any time with or without notice. IBTCI is committed to a policy of equal employment opportunity for all persons without regard to race, color, religion, sex, gender identification, age, marital status, disability, sexual orientation, national origin, disabled veteran or Vietnam-era veteran, or any other classification protected by applicable anti-discrimination laws. We prohibit and do not tolerate any form of discrimination or harassment. VEVRAA Federal Contractor. If you are an applicant with a disability that requires a reasonable accommodation to complete any part of the application process or are limited in the ability, or unable to use the online application system and need an alternative method for applying, you may contact the Talent Acquisition team at . (Do not send your resume to this account, for consideration please apply in our career page)."
111,"Summer Intern, Global Packaging Operations","Ultragenyx Novato, CA Hybrid",Internship · Internship,"About the job
Why Join Us?

Be a hero for our rare disease patients

At Ultragenyx, we fundamentally believe that taking real impactful action to care for the needs of patients and our people is always the right thing to do. To achieve this goal, our vision is to lead the future of rare disease medicine. For us, this means going where other biopharma companies won’t go – challenging the status quo and creating a new model that advances our field so more patients and caregivers can benefit from life-changing treatments. We do this by following the science, applying a novel rapid development approach, making innovative medicines at fair and reasonable prices, and creating a collaborative ecosystem to reach patients in ways that are most meaningful for them.

Our commitment and care for patients extends to our people, so culture is an essential cornerstone for Ultragenyx. We remain continuously focused on creating a supportive and inclusive environment of profound learning and growth – so employees can thrive in all areas of their lives, in and outside of work. Ultimately, we want to be an organization where we would be proud for our family, friends and children to work.

If you want to have a meaningful impact, do the best work of your career, and grow a lot, both professionally and personally, come join our team.

Project Summary:

Summer Internship

Interns will be responsible for providing their own transportation and housing for the summer. Interns are ineligible for employee benefits. Internships will be paid an hourly rate.

ultracurious – Apply your biggest ideas in courageous ways

Global Packaging Operations (GPO) performs identification, validation and qualification of processes and components and manages the production for Clinical and Commercial products. This is inclusive of primary packaging, secondary packaging, and medical devices.

The GPO Intern will work on a redesign of the packaging of a current Commercial product. This is inclusive of working with printers, packaging Contract Organizations and packaging testing sites. The GPO Intern will also support other clinical and commercial packaging initiatives.

Work Model:

Flex: This role will typically require onsite work 2-3 days each week, or more depending on business needs. In many locations, the business will set certain days each week that Flex employees are required to be onsite.

Responsibilities:
Optimize packaging configuration for an existing Commercial product including:
Evaluate supply chain and end user needs to propose options for a redesign.
Work with the Packaging Engineer, Packaging Design and external suppliers to develop mockups for evaluation and selection.
Manage printing of the selected components and perform a cost analysis for the change.
Redesign tertiary packaging
Initiate packaging testing for the updated configuration.
Support other packaging initiatives as requested including:
Support the creation of specifications and protocols,
Aide in a migration activity for specifications
Component stability programs
Migration of products to new suppliers
Requirements:
Pursuing a Bachelor’s degree in a relevant field of study (eg, Packaging, Material Science, Engineering, STEM), with minimum of second year completed
Enrolled as a full-time student with plans to return to school in fall term
Available to work 40 hours/week during normal business hours
Knowledgeable of Microsoft Office Suite (Word, Excel, PowerPoint)
Strong organizational skills
Flexible; adapts work style to meet organization needs
Meticulous attention to detail
Strong ability to follow through with tasks
Good verbal communication skills; Ability to write clearly and effectively
Ability to exercise sound judgment, reasoning, and problem solving
Capable of completing assigned responsibilities and keeping manager informed of work status

During the COVID-19 pandemic, we are committed to the health and safety of our employees and prospective employees, which means at this time our interview processes may include virtual discussions, interviews, and onboarding. Please note that compliance with local regulations and safety protocols is a condition of employment at Ultragenyx. Elements of safety protocols may include, but are not limited to: work from home requirements, regular or symptom-based covid testing, providing valid evidence of vaccination, mask wearing, and physical distancing.

US based roles: Full vaccination against COVID-19 is a condition of employment at Ultragenyx. This requirement applies to almost all roles at Ultragenyx based in the U.S., with very limited exceptions. If you are unable to receive a COVID-19 vaccine due to a disability, serious medical condition, or because it would violate your sincerely held religious belief, you will have an opportunity to request a reasonable accommodation.

Roles based outside the US: If the role requires travel to the US or another country that requires evidence of covid vaccination for entry, candidates and employees will be required follow the local regulations and corporate policy regarding vaccination evidence submission.

Full Time employees across the globe enjoy a range of benefits, including, but not limited to:
Generous vacation time and public holidays observed by the company
Volunteer days
Long term incentive and Employee stock purchase plans or equivalent offerings
Employee wellbeing benefits
Fitness reimbursement
Tuition sponsoring
Professional development plans
Benefits vary by region and country

Ultragenyx Pharmaceutical is an equal opportunity employer & prohibits unlawful discrimination based on race, color, religion, gender, sexual orientation, gender identity/expression, national origin/ancestry, age, disability, marital and veteran status. Reasonable accommodation will be provided for qualified individuals with disabilities and for qualified disabled veterans in job application procedures, as required by applicable law. If you have any difficulty using our online application system and need an accommodation due to a disability, you may contact Talent Acquisition by calling: (415) 483-8800 or by emailing us at talentacquisition@ultragenyx.com. For electronic email and mail inquiries, please include a description of your requested accommodation, your name and contact information.

See our CCPA Employee and Applicant Privacy Notice.

See our Privacy Policy.

Note to External Recruiters: All candidate activity and open positions are managed strictly through our Human Resources Department. Our Human Resources Department kindly requests that recruiters not contact employees/hiring managers directly in an attempt to solicit business and present candidates. Please note that failure to comply with this request will be a factor in determining a professional relationship with our organization. Submission of unsolicited resumes prior to an agreement set in place between the Human Resources Department and the recruiting agency will not create any implied obligation. Inquiries on developing a recruiting relationship with us, may be directed to: talentacquisition@ultragenyx.com."
112,Restructuring Intern - Summer 2024,"Alvarez & Marsal Phoenix, AZ",$25/hr - $35/hr (from job description) · Internship · Internship,"About the job
Description

Restructuring Intern - Summer 2024

Alvarez & Marsal is a premier independent global professional services firm specializing in providing turnaround management, restructuring, performance improvement and corporate advisory services. Our talent drives our success, resulting in our Restructuring & Turnaround practice becoming one of the largest and most recognized in the industry. Our successes managing some of the largest crises in the world (e.g. Lehman Brothers and Arthur Anderson), as well as preserving iconic brands through restructuring (e.g. iHeart and Gibson Brands) have earned us multiple industry awards such as: Turnaround Management Association’s (TMA’s) 2019 Turnaround of the Year: International Company - Seadrill Limited; TMA’s – 2019 Transaction of the Year: Mid-Size Company - Gibson Brands, Inc. and 2018 Transaction of the Year: Large Company - Performance Sports Group Ltd.

As a Restructuring Intern, you will have the opportunity to work alongside professionals recognized as authorities across a diverse set of industries, and with the guidance of the most talented restructuring practitioners, you will be apart of a team that is implementing changes that preserve and create value, impacting the world’s most recognized organizations, and their people.

What will you be doing?

You will be working closely with professionals who support underperforming companies as they navigate their restructuring process and create a lasting positive impact on the organization.

We advise on every aspect of the restructuring process – from the strategy, to cash conservation/liquidity management, to business plan development and implementation - providing you with a wide range of experiences and projects. Leveraging your resourcefulness and independent judgment, you will help develop solutions to critical problems to improve an organization’s overall performance. You will be applying your analytical skills and deep understanding of accounting and finance to a diverse range of projects in turnaround, restructuring, bankruptcy and performance improvement. Your involvement with these projects will typically include:

Effectively gathering, analyzing and sorting through large data sets that sometimes can be unorganized and incomplete.
Analyzing and updating 13-week cash flow models and other financial models.
Utilizing Excel, PowerPoint, and other applications to assist in creating client deliverables.
Assisting in the bankruptcy preparation and administration.
Providing research and pitch deck support by utilizing various websites and databases including Debtwire, SEC Filings, Company Websites, Capital IQ, and others.

You will develop an in-depth understanding of our client’s processes, financial statements and key operational performance drivers in order to surface and address key issues, from the big picture to the smallest details.

Who will you be working with?

At A&M you will have the opportunity to work on the most disruptive restructuring and turnaround projects in the industry and the world. You will be working alongside senior management and a team of experienced A&M professionals from a variety of backgrounds that bring a wealth of industry depth and knowledge. Relying on your ability to effectively handle pressure in stressful situations and prioritize multiple work streams, you will work in a fast paced, deeply collaborative team environment. You will build rapport and develop credible relationships with clients, legal counsel and investment bankers, and be relied on to proactively communicate with your team, external parties and client leadership.

How will you grow and be supported?

As part of a team, you will be working closely with many experienced professionals who will provide you with developmental feedback and growth opportunities.

A&M recognizes that our people drive our growth, so we will provide you with the best available learning and development resources through formalized and on the job training, as well as networking opportunities with restructuring industry contacts (e.g. attorneys, bankers, etc.). Learn more about why A&M is a great place to work .

Qualifications:

Pursuing an undergraduate or graduate degree in Accounting, Finance, or other analytical fields.
Advanced foundation in Excel and PowerPoint.
Ability to work well against deadlines and stay on task while supporting multiple work streams.
Able to function well under pressure and work independently while understanding when to ask for guidance.
Creative problem-solving skills with the ability to think through alternative solutions.
Strong communication and business writing skills.
Commitment to living A&M’s cultural values: integrity, leadership, objectivity, Inclusive Diversity and fun.

Compensation Statement

The hourly rate for California is $25-35 per hour.

Diversity & Inclusion

A&M’s entrepreneurial culture celebrates independent thinkers and doers who can positively impact our clients and shape our industry. The collaborative environment and engaging work—guided by A&M’s core values of Integrity, Quality, Objectivity, Fun, Personal Reward, and Inclusive Diversity—are the main reasons our people love working at A&M. Inclusive Diversity means we embrace diversity, and we foster inclusiveness, encouraging everyone to bring their whole self to work each day. It runs through how we recruit, develop employees, conduct business, support clients, and partner with vendors. It is the A&M way.

Voluntary Inclusion

It is Alvarez & Marsal’s practice to provide and promote equal opportunity in employment, compensation, and other terms and conditions of employment without discrimination because of race, color, sex, sexual orientation, gender identity, family medical history or genetic information, political affiliation, military service, pregnancy, marital status, family status, religion, national origin, age or disability or any other non-merit based factor or any other characteristics in accordance with all applicable laws and regulations.

Unsolicited Resumes from Third-Party Recruiters

Please note that as per A&M policy, we do not accept unsolicited resumes from third-party recruiters unless such recruiters are engaged to provide candidates for a specified opening and in alignment with our Inclusive Diversity values. Any employment agency, person or entity that submits an unsolicited resume does so with the understanding that A&M will have the right to hire that applicant at its discretion without any fee owed to the submitting employment agency, person or entity."
113,2024 Audit/Tax Summer Intern,"Aldrich Lake Oswego, OR On-site",Internship · Internship,"About the job
About The Position

Are you an undergraduate student interested in exploring a career in public accounting? Our summer interns will have the opportunity to work within our Promoting Opportunities & Outstanding Leaders (POOL) program which provides exposure to tax, audit, and consulting.

Throughout our internship experience, interns will also work alongside both our audit and tax teams. Our POOL program aims to develop our newest team members through focused education, varied experience and achievement of specific goals. It is our belief that by providing broad exposure to the variety of services and niches within our firm, our interns and future staff will be better equipped to effectively serve our clients.

Why Aldrich

Aldrich is a growth-minded west coast regional professional services firm with an innovative and entrepreneurial spirit. We are a values driven firm committed to accountability, agility, collaboration, and respect.

Aldrich's leadership philosophy encompasses the firm's clearly defined mission, vision, and values. We exist to improve the lives of our people, our clients and our communities.

Honoring why we exist and our people as our number one priority, Aldrich is committed to providing opportunities to develop the whole person and ensure employees can bring their authentic selves to our shared mission. Aldrich supports individuals’ pursuit of wild success in life and work, and their ability to impact their colleagues, clients, and communities. Aldrich is an equal opportunity employer.

Check out more about Aldrich at

You'll Get a Chance To
Developing a broad understanding of complex accounting and auditing concepts
Identifying and communicating accounting and auditing matters to senior associates and managers
Preparing audit planning documents, procedures and reports, or tax returns
Reviewing and evaluating internal control systems and policies and procedures
Examining and organizing accounts and tax records
Computing taxes owed according to prescribed rates, laws, and regulations
Assisting in conducting tax research, studies and special projects

What You Bring To The Team
Expected or completed Bachelor’s degree in Accounting, Business, Finance or Economics from an accredited college/university
Superior communication skills
Excellent research and writing skills
Ambitious with a desire to continually improve

What You Should Know

The Summer Internship program is 32 hours a week for 8 weeks. This is a temporary non-exempt position and will be required to be in person. As a temporary employee, with the exception of 401k, you will not be eligible for employee benefits.

To Apply

Please submit your resume, a brief cover letter, and a copy of your updated transcript(s). Be sure to upload all documents in PDF format."
114,"Intern, Account Management - Summer 2023 Inktern","MullenLowe U.S. Los Angeles, CA On-site",$18/hr (from job description) · Internship · Internship,"About the job
At MullenLowe we put creativity at the center of everything we do.

We are a culture of makers who are committed to craft and always hungry for what’s next.

We are entrepreneurial in spirit, disarmingly honest and embrace out of the box thinking with different points of view.

We are on a mission to do great work that drives our clients’ business and shapes their brands.

Work that is modern, disruptive and in culture.

Work that people will talk about and share with their friends. And most of all, great work that makes you think and feel something.

If you’re looking to have impact in building a creative culture of belonging, this is the place for you!

Summer 2023 Internship – Account Management

MullenLowe internships are designed to provide interns with agency experience as if you were a junior full-time hire. In short, all interns across disciplines will be integrated into teams working on live briefs and client work. All interns will have the benefit of being matched with a manager and buddy to shadow and learn on the go. A weekly seminar series offering a robust overview of how an agency runs is another unique opportunity to learn and ask questions. We encourage each intern to take full advantage of events and programming that coincide with your time at the agency to get a feel for our culture and network with our teams. It is our job to provide the best environment for you to learn and yours to maximize and make the most out of this advantage. Start your career journey with us by reviewing the job description below and applying.

Jump right into the business side of the agency where client relationships are built and endured. The Account Management intern works under the direction of a senior member in the Account Management discipline to deliver real client work, while at the same time providing administrative support for the team.

Responsibilities
Conducts research on competitor brands; compiles industry intelligence; shares findings with team.
Coordinates and traffics assets between account management, creative and production teams to ensure delivery of projects within assigned timeline.
Maintains status reports for all client deliverables; assists on day-to-day execution of projects across integrated channels (i.e. video, radio, digital/social, print & OOH, etc.)
Collaborates with other departments to gain experience on workflow through an agency.
Uploads and organizes files on agency server
Administrative tasks as assigned, such as maintaining contact lists, preparing presentation materials, taking notes, meeting prep and coordination, etc.
Other duties as assigned.

Required Skills
Education: Bachelor’s degree preferred or in progress; or equivalent work experience.
Experience: Previous experience or internship in marketing or related field preferred.
Must be available to work internship dates of 6/7/2023 - 8/11/2023.
Software: Proficiency in MS Office applications (Excel, Outlook, PowerPoint, Word, etc.) and Keynote.
Communication: strong written and verbal communication required
Soft Skills: Strong organizational skills, ability to multitask in a fast-paced environment, and close attention to detail. Ability to think critically
Proactive, entrepreneurial spirt
Curiosity and interest in the advertising/marketing industry
We are creating an office experience that is hyper-flexible and brings people together by creating moments that matter. Accordingly, this internship will be hybrid. You will need to be local or willing to relocate yourself to Los Angeles for the summer. The salary range for this position is $18/hour.

The work is never perfect, so how could we ask that of our applicants? What we do seek out at MullenLowe are original thinkers with a thing for unconventional ideas that solve tomorrow’s big problems. Is that you? Check doubt at the door and apply for the roles that will excite and challenge you in new ways.

EEOC Statement:

At MullenLowe U.S., we believe openness is fundamental to creativity. We’re open to different approaches, perspectives, and ways of thinking that come from working with people from diverse cultures, ethnicities, and sexual orientations, and we don’t believe we can get to the best place creatively without them. We strongly encourage women; Black, Indigenous, and People of Color (BIPOC) individuals; LGBTQ+ individuals; people with disabilities; people of all ages and religion; members of ethnic minorities; foreign-born residents; and veterans to apply.

We do not discriminate on any unlawful basis including race, religion, color, national origin, disability, gender, sexual orientation, age, marital status, veteran status, or any other basis prohibited by law.

Black At MullenLowe:

We signed a pledge with In For 13 to be the change we want to see in the advertising and production industry by elevating the representation, inclusion, and advancement of Black talent across our agency. We stand committed to this pledge and our goals to continually evolve into a workforce rich with diversity of thought, experiences, perspectives, and people.

You must be eligible to work in the United States to be considered for this role.

This job description is subject to change at any time.

Work is regularly performed in a professional office environment and routinely uses standard office equipment. The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

ACCESSIBILITY NOTICE: If you need a reasonable accommodation for any part of the employment process due to a physical or mental disability, please send an email to: disabilityaccommodations@mullenlowe.com - please include your location in the subject line of your email (BOS, NY, LA, WNS)

MullenLowe is an EEO/AA M/F/Disability/Vet Employer.

MullenLowe participates in E-Verify.

https://www.dol.gov/ofccp/regs/compliance/posters/pdf/eeopost.pdf

https://www.dol.gov/ofccp/regs/compliance/posters/pdf/OFCCP_EEO_Supplement_Final_JRF_QA_508c.pdf"
115,Finance Intern,"St. Joseph's Health Paterson, NJ On-site",Internship · Internship,"About the job
Overview

St. Joseph’s Healthcare System is recognized for the expertise and compassion of its highly skilled and responsive staff. The combined efforts of the organization’s outstanding physicians, superb nurses, and dedicated clinical and professional staff have made us one of the most highly respected healthcare organizations in the state, the largest employer in Passaic County, and one of the nation’s “100 Best Places to Work in Health Care”.

Job Overview

Responsible for working with customers to identify and research problems and evaluates solutions and alternatives as instructed. Maintains all on-going system maintenance and enhancements as instructed.

Qualifications

Work requires the knowledge of theories, principles, and concepts normally acquired through completion of a Bachelor's degree in Speech Pathology. Must be enrolled in a Master's degree program in Speech Pathology.

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or protected veteran status."
116,Operations Intern - Summer 2023,"MCR Hotels New York, NY On-site",$15/hr - $20/hr · Internship · Internship,"About the job
POSITION PURPOSE: The purpose of an internship at the Lexington Hotel is help students build on classroom studies with real world experience. Interns will learn first hand about the workings in one of New York City’s largest hotels. Our internships are available in front office, housekeeping, food & beverage, hotel accounting and event operations.

ESSENTIAL FUNCTIONS : List the primary tasks performed by this position.

The intern will be assigned to one department during the internship but may flex to other departments as needed
They will work an 8 hour day with no opportunity for overtime
They will work in the capacity as manager in training – taking on the responsibilities of a manager under the supervision of Department Head leadership
The intern will complete a summer long project to be presented to hotel executive committee and regional leadership at the end of the program

MINIMUM QUALIFICATIONS: List the minimum requirements that must be met to perform the position.

Must be a current college or university student able to work in the US (ie. US Citizen, Green Card Holder, etc)
Must be have a flexible schedule and be able to work evenings, weekends and holidays
Exposure to hospitality or related field either through education or real world experience

Our Company

MCR is the 3rd-largest hotel owner-operator in the United States.
Founded in 2006, our company has offices in New York City, Dallas, Chicago, and Richmond, Virginia.
MCR has a $5.0 billion portfolio of 148 premium-branded hotels containing more than 22,000 guestrooms across 37 states and 106 cities.
MCR has more than 7,000 team members across the country and operates hotels under 9 Marriott brands, 8 Hilton brands and a number of unflagged independent hotels.
MCR was named one of Fast Company ’s 10 Most Innovative Travel Companies of 2020.
MCR is a three-time recipient of the Marriott Partnership Circle Award, the highest honor Marriott presents to its owner and franchise partners, and a recipient of the Hilton Legacy Award for Top Performer.
For the TWA Hotel at New York’s JFK Airport, MCR won the Development of the Year (Full Service) Award at The Americas Lodging Investment Summit (ALIS), the Urban Land Institute New York Excellence in Hotel Development Award and the American Institute of Architects national Architecture Award, the highest honor given by the AIA.

Apply Now"
